Timestamps,T1_LEVEL,T2_LEVEL,T0_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS,Attack#01,Attack#02
2020-07-16 10:45:59.083121,0.32128829999999997,0.4150610095926015,0.6610675517667737,0,0,0,0,0,0,0,0,2.4151285302042346e-05,1,0,0,0.0,0,0.0,0,0,0,2.4151285302042346e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:59.550140,0.32128829999999997,0.41449721035582554,0.6610675517667737,0,0,0,0,0,0,0,0,2.4057614210094423e-05,1,0,0,0.0,0,0.0,0,0,0,2.405761421009443e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:00.065623,0.32128829999999997,0.4139355978221375,0.6610675517667737,0,0,0,0,0,0,0,0,2.401897089616496e-05,1,0,0,0.0,0,0.0,0,0,0,2.4018970896164957e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:00.551960,0.32128829999999997,0.41337488739658257,0.6610675517667737,0,0,0,0,0,0,0,0,2.40059060339557e-05,1,0,0,0.0,0,0.0,0,0,0,2.40059060339557e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:00.913808,0.32128829999999997,0.4128144819634638,0.6610675517667737,0,0,0,0,0,0,0,0,2.3859972983466227e-05,1,0,0,0.0,0,0.0,0,0,0,2.3859972983466227e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:01.240289,0.32128829999999997,0.4122574832617656,0.6610675517667737,0,0,0,0,0,0,0,0,2.3680204524577684e-05,1,0,0,0.0,0,0.0,0,0,0,2.368020452457768e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:01.652694,0.32128829999999997,0.411704681161559,0.6610675517667737,0,0,0,0,0,0,0,0,2.3523181017385978e-05,1,0,0,0.0,0,0.0,0,0,0,2.3523181017385975e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:02.084558,0.32128829999999997,0.41115554469373583,0.6610675517667737,0,0,0,0,0,0,0,0,2.3457709692732976e-05,1,0,0,0.0,0,0.0,0,0,0,2.3457709692732976e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:02.392922,0.32128829999999997,0.4106079366200506,0.6610675517667737,0,0,0,0,0,0,0,0,2.3268237144503885e-05,1,0,0,0.0,0,0.0,0,0,0,2.3268237144503885e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:46:02.730162,0.32128829999999997,0.41006475168479195,0.6610675517667737,0,0,0,0,0,0,0,0,2.3081065432135382e-05,1,0,0,0.0,0,0.0,0,0,0,2.3081065432135385e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
